epoch,train_loss,val_loss
1,1.4640520855808725,1.0282706518305098
2,1.0283942737937168,1.02469029582865
3,1.0271425638074392,1.0240795400153235
4,1.0907691222225084,1.02462206613706
5,1.1256163986627663,1.0260720846881652
6,1.0443137668765972,1.0265014235749792
7,1.0281970038596802,1.0246302832656304
8,1.0270798647287036,1.0240330523755543
9,1.110105270516814,1.0411857424669815
10,1.042591114077249,1.024761363758446
11,1.0690765619569658,1.0260517784425016
12,1.037623547126963,1.7805928036707925
13,1.079082245101353,1.027751181616006
14,1.050077374228451,1.0253705320262099
15,1.0277381614701393,1.0245133661030084
16,1.1013363725209508,1.0251164629304792
17,1.056359336047538,1.0256200574980918
