epoch,train_loss,val_loss
1,1.9746546480138945,0.60847055329562
2,0.5666886387410078,0.5061203497628824
3,0.44485876279833003,0.29786969920323025
4,0.589641164318496,0.5610897872075196
5,0.5476884166226965,0.5361841036073548
6,0.5098511224722875,0.47275798813916187
7,0.47028862614142125,0.4532455269502118
8,0.45098739358991596,0.43674739661356526
9,0.38945761774623605,0.3344001095826929
10,0.3072349469034261,0.2856642923496833
11,0.22586936044310954,0.19207637769197408
12,0.1945511394790953,0.1740723161530417
13,0.17331525745727264,0.1622932831413971
14,0.15823804429291644,0.15200872266671167
15,0.14513327649580532,0.14131468525975457
16,0.13357425819817345,0.13398107516212263
17,0.12765524446527185,0.12779275717438238
18,0.11492418225031065,0.12146964812414654
19,0.10754429841983713,0.11875810617344387
20,0.10024621008224037,0.11304474483677929
21,0.09344338899248647,0.10667169370752204
22,0.08649411185207993,0.102812809159779
23,0.07991737016213128,0.09711051424085511
24,0.07435958357988201,0.09241448573355567
25,0.06954926273612015,0.08890432895977256
26,0.0651213966698539,0.08544309050184508
27,0.060449446679489045,0.0826491773164913
28,0.0559117025546507,0.07773995920651705
29,0.052243334477456736,0.07549534302435403
30,0.048944106451976825,0.07402275178690687
31,0.046194798520997386,0.0730446140412302
32,0.043624739208658836,0.07063436253354294
33,0.04144470047231992,0.06907638446321705
34,0.03926997611249581,0.06896784481158669
35,0.037514178647919234,0.06701104021373323
36,0.035877652307451255,0.06624410658201099
37,0.034336057543706014,0.06490693166123927
38,0.032869649367049815,0.06420502283819723
39,0.031692415178388694,0.06402477337478232
40,0.03056973086883522,0.06269774283206618
41,0.02935401593385055,0.06264018868657394
42,0.028416374240966998,0.061801378545427166
43,0.02760658977125275,0.061324626583521065
